fereastra,contracte_care_expira,din_care_durata_publicata,valoare_ron,contracte_atribuite_in_fereastra,publicate_in_TED_expira,publicate_in_TED_valoare_ron,publicate_in_TED_atribuite
2021-09-25..2022-09-25,2158,665,3354663250,3509,620,3062364627,955
2022-09-25..2023-09-25,3231,696,4759385971,2703,629,4436209979,823
2023-09-25..2024-09-25,3330,857,7231121696,2385,805,6886972099,859
2024-09-25..2025-09-25,2774,917,8776644409,1322,891,8571408738,944
2025-09-25..2026-09-25,2488,957,8563319567,800,928,8403014815,800
2026-09-25..2027-09-25,1035,658,8031154248,0,642,7971739868,0
