id_brut_db,id_anunt_normalizat,id_procedura_finala,relatie
157952-2023,157952-2023,,exclus: autoritate non-spital
ot:2023/S 057-168068:award-1,168068-2023,,exclus: autoritate non-spital
ot:2023/S 101-319259:award-1,319259-2023,,exclus: autoritate non-spital
ot:2023/S 101-319259:award-2,319259-2023,,exclus: autoritate non-spital
319259-2023,319259-2023,,exclus: autoritate non-spital
ot:SCN1116363:award-1,SCN1116363,,exclus: autoritate non-spital
ot:SCN1117951:award-1,SCN1117951,,exclus: autoritate non-spital
ot:SCN1121911:award-1,SCN1121911,,exclus: autoritate non-spital
ot:SCN1121911:award-2,SCN1121911,,exclus: autoritate non-spital
ot:SCN1121911:award-3,SCN1121911,,exclus: autoritate non-spital
ot:SCN1121911:award-4,SCN1121911,,exclus: autoritate non-spital
ot:SCN1121911:award-5,SCN1121911,,exclus: autoritate non-spital
ot:SCN1121911:award-6,SCN1121911,,exclus: autoritate non-spital
ot:SCN1121911:award-7,SCN1121911,,exclus: autoritate non-spital
ot:SCN1121911:award-8,SCN1121911,,exclus: autoritate non-spital
158462-2023,158462-2023,,exclus: autoritate non-spital
161975-2023,161975-2023,,exclus: procedura anulata / fara castigator (XML TED)
162559-2023,162559-2023,,exclus: autoritate non-spital
163931-2023,163931-2023,,exclus: procedura anulata / fara castigator (XML TED)
163965-2023,163965-2023,,exclus: autoritate non-spital
ot:2023/S 066-197492:award-1,197492-2023,,exclus: autoritate non-spital
197492-2023,197492-2023,,exclus: autoritate non-spital
ot:CN1053114:award-1,CN1053114,,exclus: autoritate non-spital
ot:CN1053114:award-2,CN1053114,,exclus: autoritate non-spital
ot:CN1053114:award-3,CN1053114,,exclus: autoritate non-spital
ot:CN1053114:award-4,CN1053114,,exclus: autoritate non-spital
ot:CN1053114:award-5,CN1053114,,exclus: autoritate non-spital
ot:SCN1117964:award-1,SCN1117964,,exclus: autoritate non-spital
ot:2023/S 061-181825:award-1,181825-2023,,exclus: autoritate non-spital
ot:2023/S 061-181825:award-2,181825-2023,,exclus: autoritate non-spital
ot:2023/S 061-181825:award-3,181825-2023,,exclus: autoritate non-spital
181825-2023,181825-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-1,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-10,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-11,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-12,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-16,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-17,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-18,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-19,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-2,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-20,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-21,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-22,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-23,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-24,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-25,218058-2023,,exclus: autoritate non-spital
ot:2023/S 071-218058:award-26,218058-2023,,exclus: autoritate non-spital
