fereastra,contracte_care_expira,din_care_durata_publicata,valoare_ron,contracte_atribuite_in_fereastra,publicate_in_TED_expira,publicate_in_TED_valoare_ron,publicate_in_TED_atribuite
2021-09-23..2022-09-23,23,13,18766432,51,11,17001512,25
2022-09-23..2023-09-23,74,42,80269685,36,34,73567360,17
2023-09-23..2024-09-23,46,30,52770344,47,21,47566959,22
2024-09-23..2025-09-23,47,32,66124730,21,24,61869087,14
2025-09-23..2026-09-23,49,27,88471531,20,24,85071748,20
2026-09-23..2027-09-23,18,11,24957176,0,11,23431973,0
