id_anunt,autoritate,castigator,valoare_ron,data,motiv_excludere
718424-2023,"UNIVERSITATEA DE MEDICINA SI FARMACIE ""GRIGORE T.POPA"" DIN IASI",ALLIGATOR S.R.L.,1061640,2023-11-08,autoritate non-spital
490863-2023,JUDETUL SALAJ,,1789200,2023-11-09,autoritate non-spital
CAN1115565,NUCLEARELECTRICA SERV S.R.L.,SIDE GRUP S.R.L.,116501,2023-11-09,entitate privata (SRL/SA)
680896-2023,SPITALUL ORASENESC MIZIL,,1956260,2023-11-10,procedura anulata / fara castigator (confirmat in XML TED)
680940-2023,JUDETUL GALATI,ANDCOR S.R.L. / Dyomedica CND SRL / MEDIZIN TECHNOLOGIES / Proton Impex 2000 S.R.L.,4321199,2023-11-10,autoritate non-spital
681448-2023,ORASUL PUCIOASA,CORTECH MED S.R.L.,1460000,2023-11-10,autoritate non-spital
682682-2023,"UNIVERSITATEA DE MEDICINA SI FARMACIE ""GRIGORE T.POPA"" DIN IASI",MEDTRONIC ROMANIA,156260,2023-11-10,autoritate non-spital
682835-2023,SPITALUL DE RECUPERARE BORSA,,1993000,2023-11-10,procedura anulata / fara castigator (confirmat in XML TED)
SCN1134500,ORASUL TARGU FRUMOS,SERVICELL / ANA INVEST & RESEARCH,286818,2023-11-10,autoritate non-spital
756033-2023,JUDETUL SIBIU,CLINI-LAB / MEDICAL DEVICE STORE SRL,1583055,2023-11-13,autoritate non-spital
491032-2023,COMUNA VIDRA,,7283716,2023-11-13,autoritate non-spital
634730-2023,MUNICIPIUL ONESTI,,1236689,2023-11-13,autoritate non-spital
690049-2023,Consiliul Judetean Dambovita,,2123504,2023-11-14,autoritate non-spital
690483-2023,JUDETUL SATU MARE,B.BRAUN MEDICAL / CLASSIMED / GLOBAL MEDICAL SOLUTIONS / NITECH,4468319,2023-11-14,autoritate non-spital
SCN1116167,COMPANIA NATIONALA DE INVESTITII SA,Logaritm,562884,2023-11-14,entitate privata (SRL/SA)
67477-2024,JUDETUL SATU MARE,B.BRAUN MEDICAL / CLASSIMED / GLOBAL MEDICAL SOLUTIONS / KARL STORZ ENDOSCOPIA ROMANIA / NITECH / RAFI MEDICAL,5303819,2023-11-15,autoritate non-spital
692836-2023,SERVICIUL DE AMBULANTA AL JUDETULUI CLUJ,ALCA DUO MEDICAL S.R.L. / ALPHA BRIO MEDICAL S.R.L. / ALPHA MEDICAL S.R.L. / ARTISANA MEDICAL S.R.L. / AVMED PLUS / B.BRAUN MEDICAL / BEST ACHIZITII / BIOLIFE GRUP S.R.L. / BIZMED SRL / CO&CO Consumer 2002 S.R.L. / CRAD RO / CRIO - 2 S.R.L. / DELUXE MEDICRAFTS / HELLIMED / LUAN VISION / MEDIMPACT / MEDIST IMAGING & P.O.C. S.R.L. / MEDITECH CMA / NAFKA GRUP S.R.L. / Novaintermed S.R.L. / PAUL HARTMANN / PRODCONFARM S.R.L. / RICOMED / ROVAL MED / S.C. ADAR UNIC SOLUTIONS S.R.L. / S.C. DANCRI MEDICAL S.R.L. / S.C. DRAEGER ROMANIA S.R.L. / S.C. FARMACIA OMNIA S.R.L. / S.C. Filtre Aer Curat S.R.L. S.R.L. / S.C. IANLUX S.R.L. / S.C. MEDCLAS TRADING S.R.L. S.R.L. / S.C. Medplaza Health S.R.L. / S.C. Natural Es-medical S.R.L S.R.L. / S.C.MEDICAL GRUP S.R.L. / TIS FARMACEUTIC S.A. / TMS - TOP MEDICAL SUPPLIER / TOP TRADE MEDICAL / VALDOMEDICA TRADING / VETRO DESIGN S.R.L. / X-Lab Solutions S.R.L. / ZARYS INTERNATIONAL GROUP MEDICAL EQUIPMENT S.R.L.,824605,2023-11-15,autoritate non-spital
693320-2023,JUDETUL SALAJ,BTL ROMANIA APARATURA MEDICALA S.R.L.,687000,2023-11-15,autoritate non-spital
755431-2023,JUDETUL SALAJ,ANTISEL RO SRL / BTL ROMANIA APARATURA MEDICALA S.R.L.,853496,2023-11-15,autoritate non-spital
421713-2023,Consiliul Judetean Dambovita,,2123504,2023-11-15,autoritate non-spital
107026-2024,JUDETUL SATU MARE,ANDCOR / B.BRAUN MEDICAL / CATTUS / CLASSIMED / DIALAB SOLUTIONS / Dental Vladmed V&M SRL / GLOBAL MEDICAL SOLUTIONS / INNOVA INTEGRATION S.R.L. / KARL STORZ ENDOSCOPIA ROMANIA / LIAMED / MEDIQ INNOVATIVE TECHNOLOGIES SRL / MEDIST IMAGING & P.O.C. / MEDIST LIFE SCIENCE S.R.L. / MEDIXFARM TEHNOPLUS / NITECH / NOVA GROUP INVESTMENT / NOVOMED INTERNATIONAL SRL / RAFI MEDICAL / Sof Medica / TEHNO ELECTRO MEDICAL COMPANY S.R.L. / VLADI MED DISTRIBUTION S.R.L.,42481061,2023-11-16,autoritate non-spital
549139-2023,Orasul Cisnadie,,1796425,2023-11-16,autoritate non-spital
606571-2023,PRIMARIA ORASULUI BOLINTIN-VALE,,2877519,2023-11-16,autoritate non-spital
