id_anunt,autoritate,castigator,valoare_ron,data,motiv_excludere
475330-2020,"Institutul National de Cercetare Dezvoltare pentru Fizica si Inginerie Nucleara ""Horia Hulubei""",APEL LASER S.R.L. / CANBERRA PACKARD S.R.L. / Euro Techsys S.R.L. / HISTERESIS S.R.L. / ROMTEK ELECTRONICS S.R.L.,1139278,2019-02-26,institut de cercetare / fara paturi de spital
156995-2020,Unitatea Militară 02433 București,ANALYTIK-JENA-ROMANIA S.R.L. / ANTISEL RO SRL / Agilrom Scientific / CROMATEC PLUS S.R.L. / Carl Zeiss Instruments / Elta 90 Medical Research SRL / NITECH / SAPACO 2000 S.A. / WATT DISTRIBUTOR S.R.L.,5853297,2019-08-22,unitate militara fara profil de spital
557152-2020,Consiliul Județean Buzău,Karl Storz Endoscopia Romania / Kral Medical Solutions S.R.L.,1658220,2019-09-29,autoritate non-spital
CAN1027534,SERVICIUL DE AMBULANTA BUCURESTI-ILFOV,Pansiprod Distributie / ALPHA NED 2000 EXIM / NANO BIO MEDICAL S.R.L. / Steril Romania S.R.L. / TRIDENT MEDICAL COMPANY S.R.L. / TUNIC PROD S.R.L. / TZMO ROMANIA / LUAN VISION / BIZMED SRL / X-Lab Solutions S.R.L. / MEDICAL GRUP / Natural Es-medical S.R.L / MLM MEDICAL S.R.L. / ARTISANA MEDICAL S.R.L. / Air Liquide Vitalaire Romania / MED - AL TRADING SRL / DELTAMED / PAUL HARTMANN / RUBICON EDITECH 89 S.R.L. / TAISSIS CONCEPT / NOVITRADE S.R.L. / CO&CO Consumer 2002 S.R.L. / NAFKA GRUP S.R.L.,,2020-01-09,autoritate non-spital
SCN1061288,S.N. AEROPORTUL INTERNATIONAL TIMISOARA TRAIAN VUIA S.A.,HORACE MEDIA / DUEVERDE srl / DATA LOGIC AZIMUR SRL / TRADECO ENGINEERING DGC,561027,2020-01-09,entitate privata (SRL/SA)
16044-2020,SERVICIUL DE AMBULANTA BUCURESTI-ILFOV,ALPHA NED 2000 EXIM / ARTISANA MEDICAL S.R.L. / Air Liquide Vitalaire Romania / BIZMED SRL / CO&CO Consumer 2002 S.R.L. / DELTAMED / LUAN VISION / MED - AL TRADING SRL / MEDICAL GRUP / MLM MEDICAL S.R.L. / NAFKA GRUP / NANO BIO MEDICAL S.R.L. / NOVITRADE / Natural Es-medical S.R.L / PAUL HARTMANN / Pansiprod Distributie / RUBICON EDITECH 89 S.R.L. / STERIL ROMANIA / TAISSIS CONCEPT / TRIDENT MEDICAL COMPANY S.R.L. / TUNIC PROD S.R.L. / TZMO ROMANIA / X-Lab Solutions S.R.L.,108000,2020-01-14,autoritate non-spital
SCN1061640,Municipiul Gheorgheni,TEHNO ELECTRO MEDICAL COMPANY S.R.L.,390025,2020-01-17,autoritate non-spital
36129-2020,Orașul Rovinari,Farmatin Medical,1605000,2020-01-21,autoritate non-spital
CAN1028107,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,SC BIOGENETIX SRL,19800,2020-01-22,institut de cercetare / fara paturi de spital
CAN1028108,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,DIALAB SOLUTIONS,23100,2020-01-22,institut de cercetare / fara paturi de spital
SCNA1023332,Directia Generala de Asistenta Sociala si Protectia Copilului Timis,COMTIB S.R.L.,249423,2020-01-23,autoritate non-spital
SCN1062015,SERVICIUL DE AMBULANTA JUDETEAN VRANCEA,PRIMEX MEDICAL / MEDIMPACT / ALPHA BRIO MEDICAL S.R.L. / DELTAMED / Pansiprod Distributie,1058226,2020-01-28,autoritate non-spital
SCN1062180,Directia Generala de Asistenta Sociala si Protectia Copilului Dolj,SANROTEX TRADING SRL / TZMO ROMANIA,173750,2020-01-30,autoritate non-spital
SCNA1031780,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Hunedoara,Noack Romania S.R.L.,9400,2020-02-03,autoritate non-spital
SCN1062562,Comuna Tirsolt,MARSHAL S.R.L.,89500,2020-02-05,autoritate non-spital
SCNA1017826,Directia Generala de Asistenta Sociala si Protectia Copilului Arges,TZMO ROMANIA,238679,2020-02-05,autoritate non-spital
CN1018541,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR IALOMITA,SEPADIN S.R.L. / A.M.S. 2000 TRADING IMPEX S.R.L. / SAPACO 2000 S.A. / ELECTRIC BACKUP / Omnivet Impex S.R.L. / ANTISEL RO SRL,438705,2020-02-06,autoritate non-spital
CN1018640,SC. SANADOR SRL,EXIMIA MEDICAL / HELLIMED / Sof Medica / M-G EXIM ROMITALIA / LUAN VISION / CARDIOTECH / FARMACEUTICA REMEDIA DISTRIBUTION & LOGISTICS S.R.L. / BIOLIFE GRUP S.R.L. / LIFETECH CONSULTING / MLM MEDICAL S.R.L. / MEDTRONIC ROMANIA / SC EPSYLON GROUP SRL / ALPHA MEDICAL S.R.L. / MEDI -TECH BUSINESS / ANGIOSPECTRU MED S.R.L.,,2020-02-06,entitate privata (SRL/SA)
CAN1028872,Universitatea din Bucuresti,SAPACO 2000 S.A.,6400,2020-02-10,autoritate non-spital
SCN1062866,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Hunedoara,NOVA GROUP INVESTMENT / Noack Romania S.R.L. / MEDICLIM S.R.L. / DIALAB SOLUTIONS / EUROVET LAB S.R.L.,50416,2020-02-11,autoritate non-spital
SCN1062885,"Universitatea ""Alexandru Ioan Cuza"" Iasi",FABI TOTAL GRUP S.R.L. / S.C. GLOBAL PLAST INVEST SRL S.R.L.,228180,2020-02-11,autoritate non-spital
SCN1062949,Comuna Petricani,AMBIENT ROOF DAHA / MOBTECO PRODUCT S.R.L.,61372,2020-02-12,autoritate non-spital
92054-2020,JUDETUL GALATI,General Electric Medical Systems România,1690000,2020-02-18,autoritate non-spital
SCN1063272,SERVICIUL DE AMBULANTA JUDETEAN PRAHOVA,NAFKA GRUP S.R.L. / ARTISANA MEDICAL S.R.L. / Pansiprod Distributie / CRIO - 2 S.R.L. / LUAN VISION / CO&CO Consumer 2002 S.R.L. / TZMO ROMANIA / VALDOMEDICA TRADING / X-Lab Solutions S.R.L. / THREE PHARM / HDL Union / MEDIST IMAGING & P.O.C. S.R.L. / S.C. MEDCLAS TRADING S.R.L. S.R.L. / S.C. DELTAMED S.R.L. / S.C.MEDICAL GRUP S.R.L.,283744,2020-02-18,autoritate non-spital
SCN1063430,Apavital SA Iasi,SMART CHOICE S.R.L. / ALIANT BUSINESS SOLUTIONS / QUARTZ MATRIX,164109,2020-02-20,entitate privata (SRL/SA)
138397-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Chronos Trade Medical,9913825,2020-02-28,autoritate non-spital
SCN1064485,DIRECTIA DE ASISTENTA SOCIALA BAIA MARE,BTL ROMANIA APARATURA MEDICALA S.R.L. / INDECO SOFT S.R.L.,181610,2020-03-05,autoritate non-spital
SCN1064681,"UNIVERSITATEA ""LUCIAN BLAGA"" DIN SIBIU",COMTIB S.R.L.,324458,2020-03-06,autoritate non-spital
135643-2020,JUDETUL SIBIU,Papapostolou S.R.L / S.C. Elmed Medical S.R.L.,2747622,2020-03-09,autoritate non-spital
147992-2020,Orasul Simleu Silvaniei,BPM Tehnologica / Mobteco Product S.R.L.,6826107,2020-03-10,autoritate non-spital
SCN1064943,Directia Sanitar Veterinara si pentru Siguranta Alimentelor Braila,ANTISEL RO SRL / DIALAB SOLUTIONS / Noack Romania S.R.L. / Filara BioMed SRL / MEDICLIM S.R.L. / NOVA GROUP INVESTMENT / ROMVAC COMPANY,230271,2020-03-11,autoritate non-spital
150685-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,NanoSystems MC,24600000,2020-03-16,autoritate non-spital
206758-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Romwine & Cofee S.R.L.,19162500,2020-03-17,autoritate non-spital
206762-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Viggo Fashion International S.R.L.,28000000,2020-03-17,autoritate non-spital
206773-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Viggo Fashion International S.R.L.,45000000,2020-03-17,autoritate non-spital
206775-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Romwine & Cofee S.R.L.,27912500,2020-03-17,autoritate non-spital
CAN1030636,JUDETUL GALATI,BIOMEDICA MEDIZINPRODUKTE ROMANIA SRL,345000,2020-03-18,autoritate non-spital
192134-2020,AEROPORTUL INTERNATIONAL AVRAM IANCU CLUJ RA,Info Med Expert S.R.L. / S.C. Danger S.R.L. / S.C. Mountain Industrial Resources S.R.L.,4755800,2020-03-19,autoritate non-spital
SCN1065521,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR ALBA,NOVA GROUP INVESTMENT / DIALAB SOLUTIONS / ROMVAC COMPANY / Noack Romania S.R.L. / MEDICLIM S.R.L.,68707,2020-03-19,autoritate non-spital
SCN1065575,Ministerul Apararii U.M. 02412 Bucuresti,FRESENIUS KABI ROMANIA S.R.L. / PAUL HARTMANN / CRIO - 2 S.R.L. / CO&CO Consumer 2002 S.R.L. / TZMO ROMANIA / INFOMED S.R.L. / Lumamed Health&Care SRL,61286,2020-03-20,unitate militara fara profil de spital
SCN1065648,JUDETUL CARAS-SEVERIN,MEDICLIM S.R.L. / MEDIST IMAGING & P.O.C. S.R.L. / BTL ROMANIA APARATURA MEDICALA S.R.L. / S.C.MEDICAL GRUP S.R.L.,387320,2020-03-23,autoritate non-spital
SCN1065660,Directia Sanitar Veterinara si pentru Siguranta Alimentelor Braila,SYNTTERGY CONSULT S.R.L. / EMSAR S.R.L. / LABORSISTEM S.R.L. / S.C. REDOX RESEARCH & ANALYTIC S.R.L. S.R.L. / BROSSER TECHNICS / DIAMEDIX IMPEX / DEXTER COM S.R.L. / TYD ELAN S.R.L. / S.C. DELTAMED S.R.L. / Filara BioMed SRL / PARTNERS MEDICAL SOLUTION S.R.L. / TOPOMEV OPTOSCIENCE,109016,2020-03-23,autoritate non-spital
193199-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Sapaco 2000 S.A.,998200,2020-03-24,autoritate non-spital
SCN1065726,Ministerul Apararii U.M. 02412 Bucuresti,Novaintermed S.R.L. / Tody Laboratories Int / A.M.S. 2000 TRADING IMPEX S.R.L. / TRANSCOM VIDELE SRL / PARTNERS MEDICAL SOLUTION S.R.L. / INTEGRATOR TEAM / Medist / BIO AQUA GROUP / DIAMEDIX IMPEX,,2020-03-24,unitate militara fara profil de spital
163750-2020,CONSILIUL JUDETEAN GORJ,Drager Medical Romania / Evo Healthcare Consulting S.R.L. / S.C. Drager Medical Romania S.R.L. S.R.L. / Siemens Healthcare S.R.L.,1050000,2020-03-25,autoritate non-spital
163831-2020,JUDETUL SALAJ,S.C. Santimpex S.R.L.,760500,2020-03-25,autoritate non-spital
193400-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Proton Impex 2000,2540000,2020-03-25,autoritate non-spital
193416-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,General Electric Medical Systems Romania,2940000,2020-03-25,autoritate non-spital
193419-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Farmatin Medical,3762000,2020-03-25,autoritate non-spital
193424-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Dacorum Grup,2460000,2020-03-25,autoritate non-spital
212016-2020,MUNICIPIUL ARAD,S.C. Christiana S.R.L.,884008,2020-03-25,autoritate non-spital
233655-2020,Complexul Multifuncțional Caraiman,Minimed Solutions S.R.L.,2100000,2020-03-26,autoritate non-spital
CAN1030980,Directia Generala de Asistenta Sociala si Protectia Copilului Bacau,EVIDENT VERIAN,64440,2020-03-26,autoritate non-spital
CAN1030982,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,ATUM MEDCARE,581550,2020-03-26,autoritate non-spital
253555-2020,Complexul Multifuncțional Caraiman,Minimed Solutions S.R.L.,54000000,2020-03-27,autoritate non-spital
SCN1066069,SERVICIUL DE AMBULANTA DOLJ,B.BRAUN MEDICAL / CO&CO Consumer 2002 S.R.L. / DELTAMED / LUAN VISION / MEDICAL GRUP / CRIO - 2 S.R.L. / Pansiprod Distributie / NAFKA GRUP S.R.L.,153435,2020-03-31,autoritate non-spital
SCN1066139,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Cluj,Noack Romania S.R.L. / MEDICLIM S.R.L. / DIAMEDIX IMPEX / DIALAB SOLUTIONS / Filara BioMed SRL,325757,2020-04-01,autoritate non-spital
181902-2020,MUNICIPIUL SUCEAVA,BPM Tehnologica S.R.L.,712500,2020-04-06,autoritate non-spital
CAN1031669,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI BOTOSANI,ANCA FARM,13445,2020-04-07,autoritate non-spital
CAN1031707,JUDETUL TIMIS,SC EVATECH ELECTRONICS SRL,495000,2020-04-08,autoritate non-spital
SCN1066361,Directia Generala de Asistenta Sociala si Protectia Copilului Arges,SOCADANCE MD SRL / Target Point,326332,2020-04-08,autoritate non-spital
193447-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Proton Impex 2000,4200000,2020-04-09,autoritate non-spital
195708-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Farmatin Medical,2950000,2020-04-09,autoritate non-spital
CAN1031781,JUDETUL TULCEA,RUXMAR OFFICE SRL,1755,2020-04-09,autoritate non-spital
CAN1031800,JUDETUL TULCEA,S.C. PANAP S.R.L.,249480,2020-04-09,autoritate non-spital
206755-2020,MUNICIPIUL CONSTANTA,G & G Paper S.R.L.,826500,2020-04-10,autoritate non-spital
219494-2020,Ministerul Transporturilor și Infrastructurii,Alpha Cert,12997513,2020-04-10,autoritate non-spital
CN1020339,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,Tody Laboratories Int / AVENA MEDICA S.R.L. / MEDICLIM S.R.L.,,2020-04-10,institut de cercetare / fara paturi de spital
216730-2020,Ministerul Transporturilor și Infrastructurii,Ducos Trading S.R.L.,1090635,2020-04-13,autoritate non-spital
219336-2020,Ministerul Transporturilor și Infrastructurii,Ducos Trading S.R.L.,20636000,2020-04-13,autoritate non-spital
219404-2020,Ministerul Transporturilor și Infrastructurii,Ducos Trading S.R.L.,1000000,2020-04-13,autoritate non-spital
219430-2020,Ministerul Transporturilor și Infrastructurii,Ama Group,12945050,2020-04-13,autoritate non-spital
219484-2020,Ministerul Transporturilor și Infrastructurii,Alpha Medical,1332000,2020-04-13,autoritate non-spital
219502-2020,Ministerul Transporturilor și Infrastructurii,Alpha Medical,4000700,2020-04-13,autoritate non-spital
219530-2020,Ministerul Transporturilor și Infrastructurii,Alpha Medical,6466700,2020-04-13,autoritate non-spital
219553-2020,Ministerul Transporturilor și Infrastructurii,Tehnoplus Medical,1473606,2020-04-13,autoritate non-spital
219609-2020,Ministerul Transporturilor și Infrastructurii,Alpha Medical,1332000,2020-04-13,autoritate non-spital
219624-2020,Ministerul Transporturilor și Infrastructurii,Alpha Medical,1746000,2020-04-13,autoritate non-spital
240205-2020,Ministerul Transporturilor și Infrastructurii,Ducos Trading S.R.L.,12945050,2020-04-13,autoritate non-spital
CAN1031979,Directia Administrare Patrimoniu,DAVO QUALITY SOLUTIONS,92000,2020-04-13,autoritate non-spital
179550-2020,Consiliul Judetean Calarasi,BPM Tehnologica,8260000,2020-04-14,autoritate non-spital
SCN1066752,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR TELEORMAN,EUROVET LAB S.R.L. / ROMVAC COMPANY / DIALAB SOLUTIONS / MEDICLIM S.R.L.,148482,2020-04-14,autoritate non-spital
SCN1066770,Unitatea Militara 02433 Bucuresti,LABORATORIUM LIFE SCIENCE SRL / WATT DISTRIBUTOR S.R.L.,115100,2020-04-14,unitate militara fara profil de spital
SCNA1019095,Directia Generala de Asistenta Sociala si Protectia Copilului Gorj,TZMO ROMANIA / S.C. GREENWOOD S.R.L.,924059,2020-04-14,autoritate non-spital
CAN1032089,Municipiul Slatina,DIVAMAR PRO HOLDING,138180,2020-04-15,autoritate non-spital
CAN1032129,MUNICIPIUL BACAU,MILENNIUM S.R.L.,222000,2020-04-15,autoritate non-spital
CAN1032133,MUNICIPIUL BACAU,SALOFARM,380000,2020-04-15,autoritate non-spital
SCN1066786,DIRECTIA POLITIEI LOCALE TIMISOARA,DENTSTORE / TZMO ROMANIA,191250,2020-04-15,autoritate non-spital
539996-2020,JUDETUL MEHEDINTI,General Electric Medical Systems Romania S.R.L.,999000,2020-04-16,autoritate non-spital
SCN1066892,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR ALBA,Filara BioMed SRL / ANTISEL RO SRL / LABORATORIUM LIFE SCIENCE SRL,239559,2020-04-16,autoritate non-spital
219542-2020,Ministerul Transporturilor și Infrastructurii,Ducos Trading,3166800,2020-04-21,autoritate non-spital
219545-2020,Ministerul Transporturilor și Infrastructurii,Ducos Trading,6324500,2020-04-21,autoritate non-spital
219585-2020,Ministerul Transporturilor și Infrastructurii,Ducos Trading,35974685,2020-04-21,autoritate non-spital
CN1020531,INSTITUTUL DE CHIMIE MACROMOLECULARA PETRU PONI,REDOX RESEARCH & ANALYTIC S.R.L.,24530,2020-04-21,institut de cercetare / fara paturi de spital
CAN1032351,Directia Generala de Asistenta Sociala si Protectia Copilului Bacau,DENTSTORE,21000,2020-04-22,autoritate non-spital
SCN1067049,COMUNA CAMARZANA (PRIMARIA COMUNEI CAMARZANA),MARSHAL / S.C. DANGER S.R.L.,333747,2020-04-22,autoritate non-spital
188245-2020,MINISTERUL APARARII - UNITATEA MILITARA 02574,ADINA S.R.L. / ARTEGO S.A. / COMGAR International S.R.L. / DIVERS CONSULTING GRUP S.R.L. / ECHO INTERNATIONAL INDUSTRY SRL / MATEI CONF GRUP S.R.L. / NIMAR S.R.L. / R & C IMPEX S.R.L. / S&G COMERCIAL S.R.L. / STIMPEX S.A. / SUPER BALL SRL / TREXIMCO S.R.L.,36601056,2020-04-23,unitate militara fara profil de spital
234018-2020,MUNICIPIUL BACAU,BPM Tehnologica S.R.L.,946827,2020-04-23,autoritate non-spital
CAN1032380,Directia Generala de Asistenta Sociala si Protectia Copilului Bacau,MADIRAL S.R.L.,16000,2020-04-23,autoritate non-spital
CAN1032388,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,RENANIA TRADE S.R.L,92928,2020-04-23,autoritate non-spital
226632-2020,MUNICIPIUL ALBA IULIA,BPM Tehnologica,917938,2020-04-24,autoritate non-spital
CAN1032524,Municipiul Sfantu Gheorghe,PAPER-LINE,151632,2020-04-24,autoritate non-spital
CAN1032529,Municipiul Sfantu Gheorghe,PAPER-LINE,190823,2020-04-24,autoritate non-spital
SCN1067176,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR ALBA,Noack Romania S.R.L. / PARTNERS MEDICAL SOLUTION S.R.L. / LABORSISTEM S.R.L. / Filara BioMed SRL / NOVACHIM TRADING / SYNTTERGY CONSULT S.R.L. / EUROVET LAB S.R.L. / MEDICAMED MARKET S.R.L. / DIAMEDIX IMPEX / AVENA MEDICA S.R.L. / TUNIC PROD S.R.L. / BIO AQUA GROUP / MEDICLIM S.R.L.,280481,2020-04-24,autoritate non-spital
193204-2020,SECTOR 3 (PRIMARIA SECTOR 3 BUCURESTI),DNS Birotica S.R.L. / Eurototal Comp S.R.L. / Office&More S.R.L.,2713270,2020-04-27,autoritate non-spital
214365-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Chronos Trade Medical,7473990,2020-04-27,autoritate non-spital
CAN1032607,Municipiul Carei,Agilrom Scientific S.R.L.,84947,2020-04-27,autoritate non-spital
CAN1032642,JUDETUL SALAJ,MEDICARE TECHNICS,198000,2020-04-27,autoritate non-spital
SCN1061214,Societatea COMPLEXUL ENERGETIC OLTENIA SA,MESSYSTECH S.R.L.,68995,2020-04-27,entitate privata (SRL/SA)
253560-2020,Complexul Multifuncțional Caraiman,Asociere S.C. Medical Gaz Plus S.R.L. – lider S.C. Cortech Med S.R.L.,4833000,2020-04-28,autoritate non-spital
CAN1032706,Consiliul Judetean Calarasi,COMPANIA NATIONALA UNIFARM,211250,2020-04-28,autoritate non-spital
CAN1032722,MUNICIPIUL BACAU,SEILAND,104000,2020-04-28,autoritate non-spital
198676-2020,Unitatea Militară 0461 București,CENSUS GROUP / INEDIT CAR&TRUCK / OFFICE&MORE / SC OBLIO COM S.R.L.,917265,2020-04-29,unitate militara fara profil de spital
229113-2020,Ministerul Transporturilor și Infrastructurii,ABB Medtec,3653433,2020-04-29,autoritate non-spital
229116-2020,Ministerul Transporturilor și Infrastructurii,ABB Medtec,988800,2020-04-29,autoritate non-spital
229124-2020,Ministerul Transporturilor și Infrastructurii,ABB Medtec,1347500,2020-04-29,autoritate non-spital
229226-2020,"UNIVERSITATEA PENTRU STIINTELE VIETII "" ION IONESCU DE LA BRAD"" DIN IASI",Ovo Design Furniture Group S.R.L. / Praxis Medica,1390816,2020-04-29,autoritate non-spital
CAN1032777,Municipiul Cluj-Napoca,SC Turamed SRL,127000,2020-04-29,autoritate non-spital
CAN1032797,MUNICIPIUL CONSTANTA,GLOBAL PLAST TRADING SRL,3953,2020-04-29,autoritate non-spital
201529-2020,INSTITUTUL NATIONAL DE HEMATOLOGIE TRANSFUZIONALA Prof.Dr.C.T.Nicolau,Englober S.R.L. / Novaintermed S.R.L. / Plastic Prod,1423907,2020-04-30,institut de cercetare / fara paturi de spital
SCN1067447,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI HUNEDOARA,FLYNG IMPEX S.R.L.,60403,2020-04-30,autoritate non-spital
240069-2020,Directia Generala de Asistenta Sociala si Protectia Copilului Sector 2,Dumitru Business House Impex S.R.L.,944614,2020-05-04,autoritate non-spital
CAN1032939,Municipiul Sfantu Gheorghe,ALUCO S.R.L.,352000,2020-05-04,autoritate non-spital
214375-2020,Municipiul Cluj-Napoca,Siemens Healthcare S.R.L.,1781000,2020-05-05,autoritate non-spital
295230-2020,ORASUL PUCIOASA,Cortech Med S.R.L.,1250000,2020-05-05,autoritate non-spital
CAN1033109,Jandarmeria Romana - U.M. 0260 Bucuresti,CODUCK BROTHERS SA,348860,2020-05-06,unitate militara fara profil de spital
CAN1033132,SERVICIUL PUBLIC ECOSAL GALATI,SONYA MOD,133200,2020-05-06,autoritate non-spital
CAN1033133,Serviciul Public de Management Salubrizare si Protectia Mediului,HAGLEITNER HYGIENE ROMANIA SRL,193626,2020-05-06,autoritate non-spital
SCN1067718,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Botosani,NITECH S.R.L. / NOVA GROUP INVESTMENT,192558,2020-05-06,autoritate non-spital
CAN1033227,Ministerul Transporturilor,DUCOS TRADING SRL,303000,2020-05-07,autoritate non-spital
CAN1033250,Ministerul Transporturilor,TEHNOPLUS MEDICAL,255553,2020-05-07,autoritate non-spital
CAN1033252,Municipiul Cluj-Napoca,KARL STORZ ENDOSCOPIA ROMANIA,260000,2020-05-07,autoritate non-spital
CAN1033255,Consiliul Judetean Calarasi,MAZAR M.G.A.I. SRL,117149,2020-05-07,autoritate non-spital
CAN1033266,Ministerul Transporturilor,TEHNOPLUS MEDICAL,81600,2020-05-07,autoritate non-spital
248191-2020,Complexul Multifuncțional Caraiman,Astra Plus S.R.L.,690000,2020-05-08,autoritate non-spital
CAN1033312,MUNICIPIUL MIERCUREA CIUC,BTL ROMANIA APARATURA MEDICALA S.R.L.,579600,2020-05-08,autoritate non-spital
CAN1033341,MUNICIPIUL ALBA IULIA,CARESTA STORE,32000,2020-05-08,autoritate non-spital
CAN1033344,MUNICIPIUL ALBA IULIA,SANROTEX TRADING SRL,12500,2020-05-08,autoritate non-spital
CAN1033348,Municipiul Cluj-Napoca,THREE PHARM,125000,2020-05-08,autoritate non-spital
CAN1033399,MUNICIPIUL MEDGIDIA,SOUL MEDICAL,529451,2020-05-11,autoritate non-spital
CAN1033447,Municipiul Cluj-Napoca,SC DELTAMED SRL,105966,2020-05-11,autoritate non-spital
229122-2020,Ministerul Transporturilor și Infrastructurii,Tehnoplus Medical,11978783,2020-05-12,autoritate non-spital
240475-2020,"Institutul Național de Cercetare-Dezvoltare pentru Fizica Laserilor, Plasmei și Radiației",Apel Laser,724000,2020-05-12,institut de cercetare / fara paturi de spital
CAN1033615,Ministerul Transporturilor,ABB Medtec,618375,2020-05-13,autoritate non-spital
CAN1033627,SERVICIUL PUBLIC ECOSAL GALATI,DIMANIC CONSTRUCT VIROMET,85000,2020-05-13,autoritate non-spital
CN1021022,JUDETUL BOTOSANI,DIAMEDIX IMPEX / OVAVINCI SRL,423103,2020-05-13,autoritate non-spital
283499-2020,UM 0502 Bucuresti,Philips România,2076840,2020-05-14,unitate militara fara profil de spital
CAN1033640,MUNICIPIUL ALBA IULIA,CARESTA STORE,56960,2020-05-14,autoritate non-spital
CAN1033644,MUNICIPIUL ALBA IULIA,DEXTER COM S.R.L.,322500,2020-05-14,autoritate non-spital
CN1021117,Municipiul Sibiu,EYECON MEDICAL / CLINI-LAB S.R.L.,181400,2020-05-15,autoritate non-spital
SCN1062329,COMUNA GRADINARI,Reinigung,64791,2020-05-17,autoritate non-spital
47690-2020,MUNICIPIUL BAILESTI,,1077029,2020-05-18,autoritate non-spital
240325-2020,Directia Sanitar-Veterinara si pentru Siguranta Alimentelor Maramures,Diapro Top,1042671,2020-05-18,autoritate non-spital
256328-2020,COMUNA DUMBRAVENI,Dacorum Grup / Hellimed / Medist Imaging și P.O.C. S.R.L.,4335730,2020-05-18,autoritate non-spital
266612-2020,Jandarmeria Română – UM 0260 București,Biolab Scientific,2797470,2020-05-18,unitate militara fara profil de spital
336684-2021,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Advanced Technologies,24500000,2020-05-18,autoritate non-spital
CAN1033906,MUNICIPIUL BACAU,BPM TEHNOLOGICA,286944,2020-05-18,autoritate non-spital
CAN1033908,MUNICIPIUL BACAU,DRAEGER ROMANIA,150000,2020-05-18,autoritate non-spital
CAN1033910,MUNICIPIUL BACAU,DUCOS TRADING SRL,124800,2020-05-18,autoritate non-spital
SCN1068333,Directia Sanitar Veterinara si pentru Siguranta Alimentelor Braila,DIALAB SOLUTIONS / Noack Romania S.R.L. / S.C. WATT DISTRIBUTOR S.R.L. S.R.L. / Omnivet Impex S.R.L. / MEDICLIM S.R.L.,217650,2020-05-18,autoritate non-spital
475002-2020,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Botosani,EUROVET LAB,1805000,2020-05-19,autoritate non-spital
CAN1033976,Directia Sanitar Veterinara si pentru Siguranta Alimentelor Braila,SOCORO SUPPLY S.R.L.,26300,2020-05-19,autoritate non-spital
CAN1033987,Directia Sanitar Veterinara si pentru Siguranta Alimentelor Braila,MAX PAKING SOLUTION,75685,2020-05-19,autoritate non-spital
SCN1062601,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI ALBA,TZMO ROMANIA,160490,2020-05-19,autoritate non-spital
245951-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Renania Trade,926376,2020-05-20,autoritate non-spital
CAN1034164,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR TIMIS,ANTISEL RO SRL,568478,2020-05-20,autoritate non-spital
CAN1034179,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,RENANIA TRADE S.R.L,528000,2020-05-20,autoritate non-spital
